Domain,Area,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value
Producer Prices,Bulgaria,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2018,2018,7021,Annual value,USD,1.09
Producer Prices,Bulgaria,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1.04
Producer Prices,Bulgaria,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2020,2020,7021,Annual value,USD,0.86
Producer Prices,Bulgaria,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2021,2021,7021,Annual value,USD,1.12
Producer Prices,Bulgaria,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2022,2022,7021,Annual value,USD,1.23
Producer Prices,Bulgaria,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2023,2023,7021,Annual value,USD,1.51
Producer Prices,Bulgaria,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2018,2018,7021,Annual value,USD,2.78
Producer Prices,Bulgaria,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2.98
Producer Prices,Bulgaria,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2020,2020,7021,Annual value,USD,2.96
Producer Prices,Bulgaria,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2021,2021,7021,Annual value,USD,2.95
Producer Prices,Bulgaria,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2022,2022,7021,Annual value,USD,3.29
Producer Prices,Bulgaria,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2023,2023,7021,Annual value,USD,4.48
Producer Prices,Bulgaria,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2018,2018,7021,Annual value,USD,1.32
Producer Prices,Bulgaria,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1.44
Producer Prices,Bulgaria,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2020,2020,7021,Annual value,USD,1.55
Producer Prices,Bulgaria,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2021,2021,7021,Annual value,USD,1.29
Producer Prices,Bulgaria,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2022,2022,7021,Annual value,USD,1.45
